Structure Number,Tower Type,Assembly Type,Foundation Type,Tower Steel,Foundations,Date Fdn Installed,Assembly,Erected,Date Tower Stood,Strung/Clipped,OPGW Splice,Final Inspection,,,Foundation,Tower Assembly,Tower Erection,Stringing [km],Final Inspection,,,Req'd Cleairng on Span (est) [ha],% Clearing Complete on Span,equivalent ha complete,Report #,,ahead span [m],AMC / Diverter Reqd,AMC/Diverter Completed,
118,A-210-5+6,Lattice,CIP,On-Site,Completed,17-Feb-22,Completed,Completed,15-Mar-22,Not In Progress,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,404.42,NA,NA,
119,A-210-5+6,Lattice,CIP,On-Site,Completed,17-Feb-22,Completed,Completed,14-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,398.39,NA,NA,
120,A-210-5+3,Lattice,CIP,On-Site,Completed,14-Feb-22,Completed,Completed,14-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,0.764138,100%,0.764138,,,406.46,B100,Not In Progress,
121,A-210-5+15,Lattice,CIP,On-Site,Completed,14-Mar-22,Completed,Not In Progress,,Not In Progress,NA,Not In Progress,,,,,,,,,,2.258371,100%,2.258371,,,533.05,B100,Not In Progress,
122,A-210-5+15,Lattice,CIP,On-Site,Completed,9-Feb-22,Completed,Completed,14-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,395.33,B100,Not In Progress,
123,A-210-5+3,Lattice,CIP,On-Site,Completed,8-Feb-22,Completed,Completed,9-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,396.88,NA,NA,
124,A-210-5+6,Lattice,CIP,On-Site,Completed,8-Feb-22,Completed,Completed,10-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,411.10,NA,NA,
125,A-210-5+6,Lattice,CIP,On-Site,Completed,8-Feb-22,Completed,Completed,9-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,411.09,NA,NA,
126,A-210-5+6,Lattice,CIP,On-Site,Completed,5-Feb-22,Completed,Completed,9-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,411.10,NA,NA,
127,A-210-5+6,Lattice,CIP,On-Site,Completed,4-Feb-22,Completed,Completed,7-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,411.09,NA,NA,
128,A-210-5+6,Lattice,CIP,On-Site,Completed,3-Feb-22,Completed,Completed,7-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,ONE TREE TO REMOVE,,405.68,NA,NA,
129,A-210-5+6,Lattice,CIP,On-Site,Completed,5-Feb-22,Completed,Completed,5-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,400.67,NA,NA,
130,A-210-5+6,Lattice,CIP,On-Site,Completed,31-Jan-22,Completed,Completed,2-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,400.68,NA,NA,
131,A-210-5+6,Lattice,CIP,On-Site,Completed,29-Jan-22,Completed,Completed,2-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,400.67,NA,NA,
132,A-210-5+6,Lattice,CIP,On-Site,Completed,28-Jan-22,Completed,Completed,1-Mar-22,Not In Progress,NA,Not In Progress,,,,,,,,,,,,0,,,380.70,NA,NA,
133,F-207-3+9,Lattice,CIP,On-Site,Completed,3-Nov-21,Completed,Completed,28-Jan-22,Completed,Not In Progress,Not In Progress,,,,,,,,,,,,0,,,377.31,NA,NA,
134,A-210-5+6,Lattice,CIP,On-Site,Completed,6-Oct-21,Completed,Completed,15-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,399.33,NA,NA,
135,A-210-5+6,Lattice,CIP,On-Site,Completed,7-Oct-21,Completed,Completed,16-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,401.33,NA,NA,
136,A-210-5+6,Lattice,CIP,On-Site,Completed,7-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,401.33,NA,NA,
137,A-210-5+6,Lattice,CIP,On-Site,Completed,7-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,397.33,AP,Not In Progress,
138,A-210-5+6,Lattice,CIP,On-Site,Completed,23-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,396.33,NA,NA,
139,A-210-5+6,Lattice,CIP,On-Site,Completed,23-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,420.11,B100,Not In Progress,
140,A-210-5+9,Lattice,CIP,On-Site,Completed,22-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,426.50,NA,NA,
141,A-210-5+9,Lattice,CIP,On-Site,Completed,22-Oct-21,Completed,Completed,17-Dec-21,Completed,NA,Completed,,,,,,,,,,,,0,,,407.30,NA,NA,
